[2018-07-18T17:25:07.961] [DEBUG] logs\debug.log - Result of conversion: 492
[2018-07-18T17:25:07.970] [DEBUG] logs\debug.log - Converting 5.94 to int
[2018-07-18T17:25:07.971] [DEBUG] logs\debug.log - Result of conversion: 594
[2018-07-18T17:25:07.972] [DEBUG] logs\debug.log - Converting 2.27 to int
[2018-07-18T17:25:07.978] [DEBUG] logs\debug.log - Result of conversion: 227
[2018-07-18T17:25:07.979] [DEBUG] logs\debug.log - Converting 11.07 to int
[2018-07-18T17:25:07.980] [DEBUG] logs\debug.log - Result of conversion: 1107
[2018-07-18T17:25:07.986] [DEBUG] logs\debug.log - Converting 9.96 to int
[2018-07-18T17:25:07.992] [DEBUG] logs\debug.log - Result of conversion: 996
[2018-07-18T17:25:07.998] [DEBUG] logs\debug.log - Converting 11.94 to int
[2018-07-18T17:25:07.999] [DEBUG] logs\debug.log - Result of conversion: 1194
[2018-07-18T17:25:08.000] [DEBUG] logs\debug.log - Converting 9.24 to int
[2018-07-18T17:25:08.005] [DEBUG] logs\debug.log - Result of conversion: 924
[2018-07-18T17:25:08.006] [DEBUG] logs\debug.log - Converting 2.85 to int
[2018-07-18T17:25:08.007] [DEBUG] logs\debug.log - Result of conversion: 285
[2018-07-18T17:25:08.008] [DEBUG] logs\debug.log - Converting 1.51 to int
[2018-07-18T17:25:08.009] [DEBUG] logs\debug.log - Result of conversion: 151
[2018-07-18T17:25:08.015] [DEBUG] logs\debug.log - Converting 11.83 to int
[2018-07-18T17:25:08.016] [DEBUG] logs\debug.log - Result of conversion: 1183
[2018-07-18T17:25:08.017] [DEBUG] logs\debug.log - Converting 2.16 to int
[2018-07-18T17:25:08.018] [DEBUG] logs\debug.log - Result of conversion: 216
[2018-07-18T17:25:08.019] [DEBUG] logs\debug.log - Converting 1.96 to int
[2018-07-18T17:25:08.024] [DEBUG] logs\debug.log - Result of conversion: 196
[2018-07-18T17:25:08.025] [DEBUG] logs\debug.log - Converting 1.06 to int
[2018-07-18T17:25:08.026] [DEBUG] logs\debug.log - Result of conversion: 106
[2018-07-18T17:25:08.027] [DEBUG] logs\debug.log - Converting 10.81 to int
[2018-07-18T17:25:08.032] [DEBUG] logs\debug.log - Result of conversion: 1081
[2018-07-18T17:25:08.039] [DEBUG] logs\debug.log - Converting 6.75 to int
[2018-07-18T17:25:08.040] [DEBUG] logs\debug.log - Result of conversion: 675
[2018-07-18T17:25:08.041] [DEBUG] logs\debug.log - Converting 5.15 to int
[2018-07-18T17:25:08.042] [DEBUG] logs\debug.log - Result of conversion: 515
[2018-07-18T17:25:08.048] [DEBUG] logs\debug.log - Converting 9.24 to int
[2018-07-18T17:25:08.049] [DEBUG] logs\debug.log - Result of conversion: 924
[2018-07-18T17:25:08.050] [DEBUG] logs\debug.log - Converting 3.68 to int
[2018-07-18T17:25:08.051] [DEBUG] logs\debug.log - Result of conversion: 368
[2018-07-18T17:25:08.051] [DEBUG] logs\debug.log - Converting 5.43 to int
[2018-07-18T17:25:08.052] [DEBUG] logs\debug.log - Result of conversion: 543
[2018-07-18T17:25:08.053] [DEBUG] logs\debug.log - Converting 0.98 to int
[2018-07-18T17:25:08.054] [DEBUG] logs\debug.log - Result of conversion: 98
[2018-07-18T17:25:08.055] [DEBUG] logs\debug.log - Converting 6.12 to int
[2018-07-18T17:25:08.060] [DEBUG] logs\debug.log - Result of conversion: 612
[2018-07-18T17:25:08.066] [DEBUG] logs\debug.log - Converting 8.39 to int
[2018-07-18T17:25:08.068] [DEBUG] logs\debug.log - Result of conversion: 839
[2018-07-18T17:25:08.069] [DEBUG] logs\debug.log - Converting 10.41 to int
[2018-07-18T17:25:08.074] [DEBUG] logs\debug.log - Result of conversion: 1041
[2018-07-18T17:25:08.076] [DEBUG] logs\debug.log - Converting 6.51 to int
[2018-07-18T17:25:08.076] [DEBUG] logs\debug.log - Result of conversion: 651
[2018-07-18T17:25:08.077] [DEBUG] logs\debug.log - Converting 1.48 to int
[2018-07-18T17:25:08.078] [DEBUG] logs\debug.log - Result of conversion: 148
[2018-07-18T17:25:08.079] [DEBUG] logs\debug.log - Converting 5.63 to int
[2018-07-18T17:25:08.084] [DEBUG] logs\debug.log - Result of conversion: 563
[2018-07-18T17:25:08.086] [DEBUG] logs\debug.log - Converting 6.73 to int
[2018-07-18T17:25:08.086] [DEBUG] logs\debug.log - Result of conversion: 673
[2018-07-18T17:25:08.087] [DEBUG] logs\debug.log - Converting 6.69 to int
[2018-07-18T17:25:08.088] [DEBUG] logs\debug.log - Result of conversion: 669
[2018-07-18T17:25:08.089] [DEBUG] logs\debug.log - Converting 3.88 to int
[2018-07-18T17:25:08.095] [DEBUG] logs\debug.log - Result of conversion: 388
[2018-07-18T17:25:08.097] [DEBUG] logs\debug.log - Converting 2.08 to int
[2018-07-18T17:25:08.097] [DEBUG] logs\debug.log - Result of conversion: 208
[2018-07-18T17:25:08.098] [DEBUG] logs\debug.log - Converting 6.95 to int
[2018-07-18T17:25:08.099] [DEBUG] logs\debug.log - Result of conversion: 695
[2018-07-18T17:25:08.101] [DEBUG] logs\debug.log - Converting 3.21 to int
[2018-07-18T17:25:08.101] [DEBUG] logs\debug.log - Result of conversion: 321
[2018-07-18T17:25:08.103] [DEBUG] logs\debug.log - Converting 11.17 to int
[2018-07-18T17:25:08.103] [DEBUG] logs\debug.log - Result of conversion: 1117
[2018-07-18T17:25:08.110] [DEBUG] logs\debug.log - Converting 4.29 to int
[2018-07-18T17:25:08.111] [DEBUG] logs\debug.log - Result of conversion: 429
[2018-07-18T17:25:08.112] [DEBUG] logs\debug.log - Converting 0.69 to int
[2018-07-18T17:25:08.113] [DEBUG] logs\debug.log - Result of conversion: 69
[2018-07-18T17:25:08.118] [DEBUG] logs\debug.log - Converting 1.2 to int
[2018-07-18T17:25:08.119] [DEBUG] logs\debug.log - Result of conversion: 102
[2018-07-18T17:25:08.120] [DEBUG] logs\debug.log - Converting 11.18 to int
[2018-07-18T17:25:08.121] [DEBUG] logs\debug.log - Result of conversion: 1118
[2018-07-18T17:25:08.128] [DEBUG] logs\debug.log - Converting 11.34 to int
[2018-07-18T17:25:08.128] [DEBUG] logs\debug.log - Result of conversion: 1134
[2018-07-18T17:25:08.129] [DEBUG] logs\debug.log - Converting 10.78 to int
[2018-07-18T17:25:08.130] [DEBUG] logs\debug.log - Result of conversion: 1078
[2018-07-18T17:25:08.131] [DEBUG] logs\debug.log - Converting 10.07 to int
[2018-07-18T17:25:08.132] [DEBUG] logs\debug.log - Result of conversion: 1007
[2018-07-18T17:25:08.133] [DEBUG] logs\debug.log - Converting 7.27 to int
[2018-07-18T17:25:08.141] [DEBUG] logs\debug.log - Result of conversion: 727
[2018-07-18T17:25:08.143] [DEBUG] logs\debug.log - Converting 9.96 to int
[2018-07-18T17:25:08.144] [DEBUG] logs\debug.log - Result of conversion: 996
[2018-07-18T17:25:08.145] [DEBUG] logs\debug.log - Converting 10.91 to int
[2018-07-18T17:25:08.150] [DEBUG] logs\debug.log - Result of conversion: 1091
[2018-07-18T17:25:08.151] [DEBUG] logs\debug.log - Converting 7.51 to int
[2018-07-18T17:25:08.152] [DEBUG] logs\debug.log - Result of conversion: 751
[2018-07-18T17:25:08.153] [DEBUG] logs\debug.log - Converting 7.05 to int
[2018-07-18T17:25:08.154] [DEBUG] logs\debug.log - Result of conversion: 705
[2018-07-18T17:25:08.155] [DEBUG] logs\debug.log - Converting 0.6 to int
[2018-07-18T17:25:08.161] [DEBUG] logs\debug.log - Result of conversion: 6
[2018-07-18T17:25:08.162] [DEBUG] logs\debug.log - Converting 3.85 to int
[2018-07-18T17:25:08.163] [DEBUG] logs\debug.log - Result of conversion: 385
[2018-07-18T17:25:08.164] [DEBUG] logs\debug.log - Converting 5.45 to int
[2018-07-18T17:25:08.165] [DEBUG] logs\debug.log - Result of conversion: 545
[2018-07-18T17:25:08.172] [DEBUG] logs\debug.log - Converting 11.13 to int
[2018-07-18T17:25:08.173] [DEBUG] logs\debug.log - Result of conversion: 1113
[2018-07-18T17:25:08.174] [DEBUG] logs\debug.log - Converting 5.54 to int
[2018-07-18T17:25:08.175] [DEBUG] logs\debug.log - Result of conversion: 554
[2018-07-18T17:25:08.176] [DEBUG] logs\debug.log - Converting 9.48 to int
[2018-07-18T17:25:08.182] [DEBUG] logs\debug.log - Result of conversion: 948
[2018-07-18T17:25:08.184] [DEBUG] logs\debug.log - Converting 10.58 to int
[2018-07-18T17:25:08.185] [DEBUG] logs\debug.log - Result of conversion: 1058
[2018-07-18T17:25:08.190] [DEBUG] logs\debug.log - Converting 3.32 to int
[2018-07-18T17:25:08.192] [DEBUG] logs\debug.log - Result of conversion: 332
[2018-07-18T17:25:08.193] [DEBUG] logs\debug.log - Converting 8.68 to int
[2018-07-18T17:25:08.199] [DEBUG] logs\debug.log - Result of conversion: 868
[2018-07-18T17:25:08.200] [DEBUG] logs\debug.log - Converting 2.53 to int
[2018-07-18T17:25:08.201] [DEBUG] logs\debug.log - Result of conversion: 253
[2018-07-18T17:25:08.202] [DEBUG] logs\debug.log - Converting 1.96 to int
[2018-07-18T17:25:08.208] [DEBUG] logs\debug.log - Result of conversion: 196
[2018-07-18T17:25:08.209] [DEBUG] logs\debug.log - Converting 2.81 to int
[2018-07-18T17:25:08.210] [DEBUG] logs\debug.log - Result of conversion: 281
[2018-07-18T17:25:08.211] [DEBUG] logs\debug.log - Converting 5.52 to int
[2018-07-18T17:25:08.212] [DEBUG] logs\debug.log - Result of conversion: 552
[2018-07-18T17:25:08.213] [DEBUG] logs\debug.log - Converting 9.28 to int
[2018-07-18T17:25:08.213] [DEBUG] logs\debug.log - Result of conversion: 928
[2018-07-18T17:25:08.214] [DEBUG] logs\debug.log - Converting 5.13 to int
[2018-07-18T17:25:08.220] [DEBUG] logs\debug.log - Result of conversion: 513
[2018-07-18T17:25:08.220] [DEBUG] logs\debug.log - Converting 7.05 to int
[2018-07-18T17:25:08.221] [DEBUG] logs\debug.log - Result of conversion: 705
[2018-07-18T17:25:08.222] [DEBUG] logs\debug.log - Converting 10.13 to int
[2018-07-18T17:25:08.223] [DEBUG] logs\debug.log - Result of conversion: 1013
[2018-07-18T17:25:08.224] [DEBUG] logs\debug.log - Converting 5.96 to int
[2018-07-18T17:25:08.225] [DEBUG] logs\debug.log - Result of conversion: 596
[2018-07-18T17:25:08.231] [DEBUG] logs\debug.log - Converting 5.33 to int
[2018-07-18T17:25:08.231] [DEBUG] logs\debug.log - Result of conversion: 533
[2018-07-18T17:25:08.232] [DEBUG] logs\debug.log - Converting 10.62 to int
[2018-07-18T17:25:08.233] [DEBUG] logs\debug.log - Result of conversion: 1062
[2018-07-18T17:25:08.234] [DEBUG] logs\debug.log - Converting 7.78 to int
[2018-07-18T17:25:08.235] [DEBUG] logs\debug.log - Result of conversion: 778
[2018-07-18T17:25:08.236] [DEBUG] logs\debug.log - Converting 5.71 to int
[2018-07-18T17:25:08.237] [DEBUG] logs\debug.log - Result of conversion: 571
[2018-07-18T17:25:08.238] [DEBUG] logs\debug.log - Converting 7.71 to int
[2018-07-18T17:25:08.244] [DEBUG] logs\debug.log - Result of conversion: 771
[2018-07-18T17:25:08.245] [DEBUG] logs\debug.log - Converting 10.6 to int
[2018-07-18T17:25:08.246] [DEBUG] logs\debug.log - Result of conversion: 1006
[2018-07-18T17:25:08.247] [DEBUG] logs\debug.log - Converting 3.42 to int
[2018-07-18T17:25:08.254] [DEBUG] logs\debug.log - Result of conversion: 342
[2018-07-18T17:25:08.256] [DEBUG] logs\debug.log - Converting 6.89 to int
[2018-07-18T17:25:08.256] [DEBUG] logs\debug.log - Result of conversion: 689
[2018-07-18T17:25:08.262] [DEBUG] logs\debug.log - Converting 9.99 to int
[2018-07-18T17:25:08.263] [DEBUG] logs\debug.log - Result of conversion: 999
[2018-07-18T17:25:08.264] [DEBUG] logs\debug.log - Converting 7.01 to int
[2018-07-18T17:25:08.270] [DEBUG] logs\debug.log - Result of conversion: 701
[2018-07-18T17:25:08.271] [DEBUG] logs\debug.log - Converting 8.3 to int
[2018-07-18T17:25:08.277] [DEBUG] logs\debug.log - Result of conversion: 803
[2018-07-18T17:25:08.278] [DEBUG] logs\debug.log - Converting 10.09 to int
[2018-07-18T17:25:08.283] [DEBUG] logs\debug.log - Result of conversion: 1009
[2018-07-18T17:25:08.285] [DEBUG] logs\debug.log - Converting 11 to int
[2018-07-18T17:25:08.286] [DEBUG] logs\debug.log - Result of conversion: 1100
[2018-07-18T17:25:08.287] [DEBUG] logs\debug.log - Converting 1.25 to int
[2018-07-18T17:25:08.288] [DEBUG] logs\debug.log - Result of conversion: 125
[2018-07-18T17:25:08.292] [DEBUG] logs\debug.log - Converting 9.13 to int
[2018-07-18T17:25:08.293] [DEBUG] logs\debug.log - Result of conversion: 913
[2018-07-18T17:25:08.294] [DEBUG] logs\debug.log - Converting 9.4 to int
[2018-07-18T17:25:08.295] [DEBUG] logs\debug.log - Result of conversion: 904
[2018-07-18T17:25:08.296] [DEBUG] logs\debug.log - Converting 2.53 to int
[2018-07-18T17:25:08.297] [DEBUG] logs\debug.log - Result of conversion: 253
[2018-07-18T17:25:08.298] [DEBUG] logs\debug.log - Converting 7.59 to int
[2018-07-18T17:25:08.299] [DEBUG] logs\debug.log - Result of conversion: 759
[2018-07-18T17:25:08.308] [DEBUG] logs\debug.log - Converting 2.15 to int
[2018-07-18T17:25:08.309] [DEBUG] logs\debug.log - Result of conversion: 215
[2018-07-18T17:25:08.315] [DEBUG] logs\debug.log - Converting 4.01 to int
[2018-07-18T17:25:08.316] [DEBUG] logs\debug.log - Result of conversion: 401
[2018-07-18T17:25:08.317] [DEBUG] logs\debug.log - Converting 6.35 to int
[2018-07-18T17:25:08.317] [DEBUG] logs\debug.log - Result of conversion: 635
[2018-07-18T17:25:08.319] [DEBUG] logs\debug.log - Converting 10.19 to int
[2018-07-18T17:25:08.319] [DEBUG] logs\debug.log - Result of conversion: 1019
[2018-07-18T17:25:08.321] [DEBUG] logs\debug.log - Converting 9 to int
[2018-07-18T17:25:08.322] [DEBUG] logs\debug.log - Result of conversion: 900
[2018-07-18T17:25:08.323] [DEBUG] logs\debug.log - Converting 9.39 to int
[2018-07-18T17:25:08.324] [DEBUG] logs\debug.log - Result of conversion: 939
[2018-07-18T17:25:08.325] [DEBUG] logs\debug.log - Converting 11.44 to int
[2018-07-18T17:25:08.326] [DEBUG] logs\debug.log - Result of conversion: 1144
[2018-07-18T17:25:08.327] [DEBUG] logs\debug.log - Converting 9.19 to int
[2018-07-18T17:25:08.328] [DEBUG] logs\debug.log - Result of conversion: 919
[2018-07-18T17:25:08.328] [DEBUG] logs\debug.log - Converting 8.72 to int
[2018-07-18T17:25:08.329] [DEBUG] logs\debug.log - Result of conversion: 872
[2018-07-18T17:25:08.330] [DEBUG] logs\debug.log - Converting 8.72 to int
[2018-07-18T17:25:08.331] [DEBUG] logs\debug.log - Result of conversion: 872
[2018-07-18T17:25:08.332] [DEBUG] logs\debug.log - Converting 1.32 to int
[2018-07-18T17:25:08.337] [DEBUG] logs\debug.log - Result of conversion: 132
[2018-07-18T17:25:08.338] [DEBUG] logs\debug.log - Converting 10.14 to int
[2018-07-18T17:25:08.339] [DEBUG] logs\debug.log - Result of conversion: 1014
[2018-07-18T17:25:08.340] [DEBUG] logs\debug.log - Converting 4.34 to int
[2018-07-18T17:25:08.341] [DEBUG] logs\debug.log - Result of conversion: 434
[2018-07-18T17:25:08.342] [DEBUG] logs\debug.log - Converting 5.99 to int
[2018-07-18T17:25:08.343] [DEBUG] logs\debug.log - Result of conversion: 599
[2018-07-18T17:25:08.344] [DEBUG] logs\debug.log - Converting 2.54 to int
[2018-07-18T17:25:08.345] [DEBUG] logs\debug.log - Result of conversion: 254
[2018-07-18T17:25:08.351] [DEBUG] logs\debug.log - Transactions have been successfully parsed
[2018-07-18T17:25:08.352] [DEBUG] logs\debug.log - Getting all users' info
[2018-07-18T17:25:08.354] [DEBUG] logs\debug.log - Started calculating accounts
[2018-07-18T17:25:08.354] [DEBUG] logs\debug.log - Converting 214 to string
